نام,نام خانوادگی,استان,شهر,جنسیت,شاخص عملکرد,رتبه,تعداد عملکرد ثبت شده,درصد حضور,درصد غیبت,تعداد حضور در رای‌گیری,رای موافق,رای مخالف,رای ممتنع,عدم مشارکت در رای‌گیری,کمیسیون سال اول,کمیسیون سال دوم,کمیسیون سال سوم,کمیسیون سال چهارم,توضیحات
علیرضا,سلیمی,مرکزی,دلیجان / محلات,آقا,1842,1,2046,98,2,2015,1540,469,2,4,عضو کمیسیون صنایع و معادن - عضو کمیسیون تدوین آیین‌نامه داخلی مجلس,عضو کمیسیون تدوین آیین‌نامه داخلی مجلس - عضو کمیسیون صنایع و معادن,عضو کمیسیون صنایع و معادن - عضو کمیسیون تدوین آیین‌نامه داخلی مجلس,عضو کمیسیون صنایع و معادن - عضو کمیسیون تدوین آیین‌نامه داخلی مجلس,سوابق و فعالیت ها: - استاد و عضو هیأت علمی دانشگاه - مدیر و مدرس حوزه علمیه - امام جمعه موقت تحصیلات: - دروس خارج فقه و اصول - دکتری فقه و حقوق
حسینعلی,حاجی‌دلیگانی,اصفهان,برخوار / شاهین شهر / میمه,آقا,1831,2,2046,100,0,2046,1523,487,27,9,عضو کمیسیون تلفیق,,عضو کمیسیون تلفیق,,سوابق و فعالیت ها: - معاون استاندار اصفهان و فرماندار ویژه کاشان - فرمانده سپاه اصفهان تحصیلات : - کارشناسی ارشد مدیریت دولتی
علیرضا,عباسی,البرز,کرج,آقا,1757,3,2046,99,1,2032,1559,456,4,13,,نایب رئیس دوم کمیسیون کشاورزی،  آب و منابع طبیعی,عضو کمیسیون کشاورزی،  آب و منابع طبیعی,نایب رئیس دوم کمیسیون کشاورزی،  آب و منابع طبیعی,سوابق: عضو هیات علمی پردیس کشاروزی و منابع طبیعی دانشگاه تهران(دانشیار) مسئول کارگروه کشاورزی دانشجویان اعزام به خارج از کشور وزارت علوم، تحقیقات و فناوری سردبیر مجله علوم گیاهان زراعی ایران عضو کارگروه ثبت اختراعات معاونت علمی و فناوری ریاست جمهوری تحصیلات: دکترای بیوتکنولوژی گیاهی
حسین,خسروی‌اسفزار,خراسان جنوبی,بیرجند / درمیان,آقا,1738,4,2046,99,1,2023,1626,388,1,8,دبیر دوم کمیسیون امور داخلی کشور و شوراها,عضو کمیسیون امور داخلی کشور و شوراها,,,سوابق اجرایی : بازنشسته سپاه میزان تحصیلات : کارشناسی ارشد معارف اسلامی
علی,خضریان,تهران,اسلامشهر / تهران / ری / شمیرانات,آقا,1714,5,2046,100,0,2036,1493,489,4,50,سخنگو کمیسیون اصل نودم قانون اساسی مجلس,سخنگو کمیسیون اصل نودم قانون اساسی مجلس,سخنگو کمیسیون اصل نودم قانون اساسی مجلس,سخنگو کمیسیون اصل نودم قانون اساسی مجلس,سوابق اجرایی : مدیرمسئول خبرنامه دانشجویان ایران مدیر مرکز ارتباطات و اطلاع رسانی نهاد نمایندگی مقام معظم رهبری(مدظله العالی) در دانشگاه ها سردبیر و قائم مقام مدیر مسئول روزنامه فرهیختگان میزان تحصیلات : کارشناس ارشد علوم سیاسی
سیدناصر,موسوی‌لارگانی,اصفهان,فلاورجان,آقا,1708,6,2046,98,2,1996,1622,355,5,14,عضو کمیسیون اقتصادی,عضو کمیسیون اقتصادی,عضو کمیسیون اقتصادی,عضو کمیسیون اقتصادی,سوابق و فعالیت ها: - دبیر آموزش و پرورش تحصیلات: - سطح 2 علوم حوزه - کارشناسی ارشد تاریخ اسلام
محمدحسن,آصفری,مرکزی,اراک / خنداب / کمیجان,آقا,1694,7,2046,98,2,2001,1483,447,8,63,نایب رئیس دوم کمیسیون امور داخلی کشور و شوراها,عضو کمیسیون امور داخلی کشور و شوراها,نایب رئیس دوم کمیسیون امور داخلی کشور و شوراها,نایب رئیس دوم کمیسیون امور داخلی کشور و شوراها - عضو کمیسیون کمیسیون تلفیق برنامه هفتم,سوابق و فعالیت ها: - فرماندار اراک تحصیلات: - فوق لیسانس علوم سیاسی
قدرت‌الله,حمزه‌شلمزاری,چهارمحال و بختیاری,اردل  / فارسان,آقا,1677,8,2046,97,3,1991,1535,399,5,52,عضو کمیسیون امور داخلی کشور و شوراها,عضو کمیسیون امور داخلی کشور و شوراها,عضو کمیسیون امور داخلی کشور و شوراها,عضو کمیسیون امور داخلی کشور و شوراها,سوابق اجرایی : فرماندار سابق کوهرنگ و ایذه میزان تحصیلات : کارشناسی ارشد علوم سیاسی
محمد,رشیدی,کرمانشاه,کرمانشاه,آقا,1661,9,2046,95,5,1948,1400,437,63,48,دبیر اول کمیسیون تلفیق - عضو کمیسیون کشاورزی،  آب و منابع طبیعی - عضو کمیسیون کمیسیون ویژه جهش و رونق تولید و نظارت بر اجرای اصل 44 قانون اساسی,عضو کمیسیون کشاورزی،  آب و منابع طبیعی - عضو کمیسیون تلفیق - عضو کمیسیون کمیسیون ویژه جهش و رونق تولید و نظارت بر اجرای اصل 44 قانون اساسی,عضو کمیسیون کشاورزی،  آب و منابع طبیعی - عضو کمیسیون کمیسیون ویژه جهش و رونق تولید و نظارت بر اجرای اصل 44 قانون اساسی,عضو کمیسیون کشاورزی،  آب و منابع طبیعی - عضو کمیسیون کمیسیون تلفیق برنامه هفتم - عضو کمیسیون کمیسیون ویژه جهش و رونق تولید و نظارت بر اجرای اصل 44 قانون اساسی,سوابق اجرایی : استاد دانشگاه رازی کرمانشاه میزان تحصیلات : دکترای علوم قرآن و حدیث
اسماعیل,کوثری,تهران,تهران,آقا,1648,10,2046,95,5,1945,1435,401,68,41,,,,,
علی,کریمی‌فیروزجائی,مازندران,بابل,آقا,1577,11,1888,98,2,1857,1451,312,45,49,عضو کمیسیون آموزش و تحقیقات,عضو کمیسیون آموزش و تحقیقات - عضو کمیسیون تلفیق,عضو کمیسیون آموزش و تحقیقات,عضو کمیسیون آموزش و تحقیقات,
محمدحسین,فرهنگی,آذربایجان شرقی,آذر شهر / اسکو / تبریز,آقا,1574,12,2046,89,11,1830,1257,504,24,45,عضو کمیسیون صنایع و معادن - عضو کمیسیون تدوین آیین‌نامه داخلی مجلس - عضو کمیسیون کمیسیون ویژه جهش و رونق تولید و نظارت بر اجرای اصل 44 قانون اساسی,نایب رئیس اول کمیسیون تدوین آیین‌نامه داخلی مجلس - عضو کمیسیون صنایع و معادن - عضو کمیسیون کمیسیون ویژه جهش و رونق تولید و نظارت بر اجرای اصل 44 قانون اساسی,نایب رئیس اول کمیسیون تدوین آیین‌نامه داخلی مجلس - عضو کمیسیون صنایع و معادن - عضو کمیسیون کمیسیون ویژه جهش و رونق تولید و نظارت بر اجرای اصل 44 قانون اساسی,نایب رئیس اول کمیسیون تدوین آیین‌نامه داخلی مجلس - عضو کمیسیون صنایع و معادن - عضو کمیسیون کمیسیون ویژه جهش و رونق تولید و نظارت بر اجرای اصل 44 قانون اساسی,سوابق و فعالیت ها: - دبیر منطقه ای و عضو هیأت علمی دانشگاه تحصیلات: - کارشناسی ارشد مدیریت دولتی - دکتری تخصصی فقه و مبانی حقوق اسلامی
محمدرضا,دشتی‌اردکانی,یزد,اردکان,آقا,1574,12,1869,99,1,1845,1364,371,87,23,عضو کمیسیون برنامه و بودجه و محاسبات - عضو کمیسیون تلفیق,عضو کمیسیون برنامه و بودجه و محاسبات,عضو کمیسیون برنامه و بودجه و محاسبات,عضو کمیسیون کمیسیون تلفیق برنامه هفتم - عضو کمیسیون برنامه و بودجه و محاسبات,سوابق اجرایی : رئیس سردفتران کشور میزان تحصیلات : کارشناس ارشد حقوق
حسین,حق‌وردی,تهران,شهریار,آقا,1541,14,2046,91,9,1859,1509,249,20,81,دبیر دوم کمیسیون آموزش و تحقیقات,عضو کمیسیون آموزش و تحقیقات,عضو کمیسیون آموزش و تحقیقات - عضو کمیسیون تلفیق,عضو کمیسیون آموزش و تحقیقات,سوابق اجرایی : نماینده و رئیس کمیسیون حقوقی شورای شهر شهریار میزان تحصیلات : دانشجوی دکترای تاریخ اسلام
شیوا,قاسمی‌پور,کردستان,سروآباد / مریوان,خانم,1538,15,2046,94,6,1920,1504,285,14,117,دبیر اول کمیسیون آموزش و تحقیقات,دبیر اول کمیسیون آموزش و تحقیقات,دبیر دوم کمیسیون آموزش و تحقیقات,دبیر اول کمیسیون آموزش و تحقیقات,سوابق اجرایی : کارمند آموزش و پرورش میزان تحصیلات : دکترای مدیریت
سلمان,اسحاقی,خراسان جنوبی,قائنات,آقا,1538,15,2046,88,12,1792,1452,279,6,55,,,,سخنگو کمیسیون بهداشت و درمان,سوابق اجرایی : کارشناس حقوق و تحلیل گر سازمان انرژی اتمی ، روزنامه نگار میزان تحصیلات : کارشناسی ارشد حقوق بین الملل
حبیب,آقاجری,خوزستان,بندرماهشهر,آقا,1537,17,2046,91,9,1857,1368,309,43,137,عضو کمیسیون انرژی,عضو کمیسیون انرژی,عضو کمیسیون انرژی,عضو کمیسیون انرژی,سوابق و فعالیت ها : - پاسدار جانشین عملیات کل سپاه - مسئول عملیات نیروی دریایی سپاه - فرمانده منطقه سوم دریایی سپاه تحصیلات: - کارشناسی ارشد مدیریت دفاعی
مجتبی,یوسفی,خوزستان,اهواز / باوی,آقا,1533,18,1869,96,4,1800,1249,467,54,30,عضو کمیسیون عمران - عضو کمیسیون تلفیق,عضو کمیسیون عمران,عضو کمیسیون عمران,عضو کمیسیون عمران - عضو کمیسیون کمیسیون تلفیق برنامه هفتم,سوابق اجرایی : شهردار منطقه 3 اهواز میزان تحصیلات : کارشناسی ارشد مدیریت استراتژیک
محسن,پیرهادی,تهران,اسلامشهر / تهران / ری / شمیرانات,آقا,1530,19,2046,92,8,1887,1213,252,299,123,عضو کمیسیون امنیت ملی و سیاست خارجی,عضو کمیسیون امنیت ملی و سیاست خارجی,عضو کمیسیون امنیت ملی و سیاست خارجی,نایب رئیس اول کمیسیون کمیسیون تلفیق برنامه هفتم - عضو کمیسیون امنیت ملی و سیاست خارجی,سوابق اجرایی : عضو اسبق شورای شهرتهران میزان تحصیلات : دکترای روابط بین الملل
مهدی,سعادتی‌بیشه‌سری,مازندران,بابل,آقا,1518,20,2046,89,11,1819,1483,181,115,40,عضو کمیسیون امنیت ملی و سیاست خارجی,عضو کمیسیون امنیت ملی و سیاست خارجی,عضو کمیسیون امنیت ملی و سیاست خارجی,عضو کمیسیون امنیت ملی و سیاست خارجی,سوابق اجرایی : فرمانده سپاه، استاندارگیلان میزان تحصیلات : کارشناسی ارشد مدیریت
احمد,علیرضابیگی,آذربایجان شرقی,آذر شهر / اسکو / تبریز,آقا,1517,21,2046,90,10,1838,1396,385,13,44,,,عضو کمیسیون امور داخلی کشور و شوراها,عضو کمیسیون امور داخلی کشور و شوراها,سوابق و فعالیت ها: - استاندار آذربایجان شرقی تحصیلات: - دانشجوی دوره دکتری امنیت ملی
سیدسلمان,ذاکر,آذربایجان غربی,ارومیه,آقا,1499,22,1888,94,6,1781,1436,282,22,41,عضو کمیسیون اجتماعی,عضو کمیسیون اجتماعی,عضو کمیسیون اجتماعی,عضو کمیسیون اجتماعی - عضو کمیسیون اصل نودم قانون اساسی مجلس,
مهدی,عسگری,البرز,کرج,آقا,1489,23,2046,88,12,1799,1349,320,79,51,عضو کمیسیون صنایع و معادن,عضو کمیسیون صنایع و معادن - عضو کمیسیون تلفیق,عضو کمیسیون صنایع و معادن,نایب رئیس اول کمیسیون صنایع و معادن - عضو کمیسیون کمیسیون تلفیق برنامه هفتم,سوابق اجرایی : مشاور استانداری البرز مدیر اداره ارشاد شهرستان کرج معاون مطبوعاتی اداره کل فرهنگ و ارشاد اسلامی استان البرز میزان تحصیلات : مهندسی متالوژی، فوق لیسانس فلسفه
حسین,رجایی‌ریزی,اصفهان,لنجان,آقا,1481,24,1888,95,5,1794,1433,288,10,63,,,,,
روح اله,متفکرآزاد,آذربایجان شرقی,آذر شهر / اسکو / تبریز,آقا,1477,25,2046,88,12,1807,1444,282,10,71,عضو کمیسیون آموزش و تحقیقات,عضو کمیسیون آموزش و تحقیقات,عضو کمیسیون آموزش و تحقیقات,عضو کمیسیون آموزش و تحقیقات,سوابق و فعالیت ها: -عضو هیات علمی دانشگاه تبریز تحصیلات: - دکترای زیست شناسی
فاطمه,رحمانی,خراسان رضوی,کلات / مشهد,خانم,1475,26,1888,94,6,1769,1256,407,29,77,عضو کمیسیون اجتماعی,عضو کمیسیون اجتماعی,عضو کمیسیون اجتماعی,عضو کمیسیون اجتماعی - عضو کمیسیون کمیسیون تلفیق برنامه هفتم,سوابق اجرایی : مدیرکل سابق بانوان استانداری میزان تحصیلات : کارشناسی ارشد مدیریت دولتی
حجت‌الله,فیروزی,فارس,فسا,آقا,1468,27,2046,89,11,1812,1459,266,12,75,سخنگو کمیسیون صنایع و معادن,عضو کمیسیون صنایع و معادن,عضو کمیسیون صنایع و معادن - عضو کمیسیون تلفیق,عضو کمیسیون صنایع و معادن,سوابق اجرایی : معاون حقوقی قرارگاه خاتم الانبیاء میزان تحصیلات : دکترای حقوق
مهدی,طغیانی,اصفهان,اصفهان,آقا,1467,28,2046,85,15,1734,1271,398,8,57,سخنگو کمیسیون اقتصادی,عضو کمیسیون اقتصادی,سخنگو کمیسیون اقتصادی - عضو کمیسیون تلفیق,سخنگو کمیسیون اقتصادی,سوابق اجرایی : هیات علمی دانشگاه اصفهان میزان تحصیلات : دکتری علوم اقتصادی
احمد,امیرآبادی‌فراهانی,قم,قم,آقا,1463,29,1888,91,9,1724,1201,332,158,33,عضو کمیسیون اقتصادی - عضو کمیسیون تلفیق,عضو کمیسیون اقتصادی,عضو کمیسیون اقتصادی,عضو کمیسیون اقتصادی,سوابق و فعالیت ها : - استاد دانشگاه - عضو شورای اسلامی شهر قم تحصیلات : - کارشناسی ارشد - دکتری مدیریت آینده پژوهی
پروین,صالحی‌مبارکه,اصفهان,مبارکه,خانم,1462,30,1869,95,5,1774,1286,369,4,115,عضو کمیسیون بهداشت و درمان,عضو کمیسیون بهداشت و درمان,عضو کمیسیون بهداشت و درمان,عضو کمیسیون بهداشت و درمان,سوابق اجرایی : پزشک-عضو شورای شهر میزان تحصیلات : دکترای پزشکی
محمدرضا,احمدی,گیلان,رشت,آقا,1457,31,2046,88,12,1799,1395,318,2,84,عضو کمیسیون آموزش و تحقیقات,دبیر دوم کمیسیون آموزش و تحقیقات,دبیر اول کمیسیون آموزش و تحقیقات,دبیر دوم کمیسیون آموزش و تحقیقات - عضو کمیسیون اصل نودم قانون اساسی مجلس,سوابق اجرایی : بازنشسته سپاه پاسداران میزان تحصیلات : دکتری تخصصی آموزش زبان انگلیسی
مهدی,شریفیان,تهران,اسلامشهر / تهران / ری / شمیرانات,آقا,1436,32,2046,86,14,1759,1467,213,1,78,عضو کمیسیون اجتماعی,عضو کمیسیون اجتماعی,عضو کمیسیون اجتماعی,عضو کمیسیون اجتماعی,سوابق اجرایی : معاون سیاسی انتظامی فرمانداری فیروزکوه میزان تحصیلات : دکترای مهندسی سیستم های فرهنگی
بهروز,محبی‌نجم‌آبادی,خراسان رضوی,جغتای / جوین / سبزوار,آقا,1431,33,2046,92,8,1884,1424,207,24,229,عضو کمیسیون برنامه و بودجه و محاسبات,عضو کمیسیون برنامه و بودجه و محاسبات,عضو کمیسیون برنامه و بودجه و محاسبات,عضو کمیسیون برنامه و بودجه و محاسبات,سوابق اجرایی : استاد دانشگاه میزان تحصیلات : دکترای ریاضی محض
عبدالعلی,رحیمی‌مظفری,فارس,سروستان,آقا,1430,34,2046,92,8,1887,1379,284,8,216,دبیر دوم کمیسیون انرژی,دبیر دوم کمیسیون انرژی,دبیر دوم کمیسیون انرژی,دبیر اول کمیسیون انرژی,سوابق اجرایی : کارمند شرکت گاز استان فارس میزان تحصیلات : دانشجوی دکترای مهندسی شیمی
سیدجواد,حسینی‌کیا,کرمانشاه,سنقرکلیایی,آقا,1430,34,1888,94,6,1770,1395,251,11,113,عضو کمیسیون صنایع و معادن,نایب رئیس اول کمیسیون صنایع و معادن,عضو کمیسیون صنایع و معادن,عضو کمیسیون صنایع و معادن,سوابق و فعالیت ها: - مدیر کل آموزش مؤسسه آموزشی و پژوهشی امام خمینی (ره) تحصیلات: - دروس خارج فقه و اصول - کارشناسی فلسفه
سیدعلی,یزدی‌خواه,تهران,اسلامشهر / تهران / ری / شمیرانات,آقا,1426,36,2046,84,16,1712,1282,343,6,81,عضو کمیسیون فرهنگی,عضو کمیسیون فرهنگی - عضو کمیسیون تلفیق,نایب رئیس دوم کمیسیون فرهنگی,نایب رئیس اول کمیسیون فرهنگی - عضو کمیسیون کمیسیون تلفیق برنامه هفتم,سوابق اجرایی : مدیرکل آموزش و پرورش شهرستان های استان تهران میزان تحصیلات : دکترای مدیریت فناوری
فرهاد,بشیری,تهران,پاکدشت,آقا,1419,37,2046,86,14,1755,1424,226,11,94,عضو کمیسیون آموزش و تحقیقات,عضو کمیسیون آموزش و تحقیقات,عضو کمیسیون آموزش و تحقیقات,عضو کمیسیون آموزش و تحقیقات,سوابق و فعالیت ها: - مشاور مدیر کل ارزیابی عملکرد وزارت آوزش و پرورش - نماینده دور هشتم مجلس شورای اسلامی تحصیلات: - لیسانس مشاوره و راهنمایی
علی اصغر,عنابستانی,خراسان رضوی,جغتای / جوین / سبزوار,آقا,1415,38,2046,88,12,1791,1190,423,8,170,عضو کمیسیون اجتماعی - عضو کمیسیون تدوین آیین‌نامه داخلی مجلس,دبیر اول کمیسیون تدوین آیین‌نامه داخلی مجلس - عضو کمیسیون اجتماعی,دبیر اول کمیسیون تدوین آیین‌نامه داخلی مجلس - عضو کمیسیون اجتماعی,دبیر دوم کمیسیون تدوین آیین‌نامه داخلی مجلس - عضو کمیسیون اجتماعی,سوابق اجرایی : فرماندار، استاندار میزان تحصیلات : کارشناسی ارشد حقوق
محمدتقی,نقدعلی,اصفهان,خمینی شهر,آقا,1411,39,2046,88,12,1806,1264,371,10,161,عضو کمیسیون کشاورزی،  آب و منابع طبیعی,عضو کمیسیون کشاورزی،  آب و منابع طبیعی,دبیر دوم کمیسیون قضایی و حقوقی - عضو کمیسیون تلفیق,,سوابق اجرایی : جانشین مدیر کل اوقاف و امور خیریه استان میزان تحصیلات : حوزوی
احد,آزادی‌خواه,همدان,ملایر,آقا,1409,40,2046,86,14,1755,1388,248,8,111,دبیر اول کمیسیون کشاورزی،  آب و منابع طبیعی,سخنگو کمیسیون کشاورزی،  آب و منابع طبیعی,,دبیر اول کمیسیون کشاورزی،  آب و منابع طبیعی,سوابق و فعالیت ها: - مدیر کل سازمان تبلیغات اسلامی تحصیلات: - دانشجوی سطح چهار (دکتری)
حسین,جلالی,کرمان,رفسنجان,آقا,1402,41,2046,83,17,1699,1304,266,20,109,دبیر اول کمیسیون فرهنگی,دبیر دوم کمیسیون فرهنگی,عضو کمیسیون فرهنگی,عضو کمیسیون فرهنگی,سوابق اجرایی : رئیس دفتر جناب آقای آیت الله مصباح میزان تحصیلات : دکترای حوزوی
سیدمحمدرضا,میرتاج‌الدینی,آذربایجان شرقی,آذر شهر / اسکو / تبریز,آقا,1400,42,2046,86,14,1754,1348,248,20,138,نایب رئیس دوم کمیسیون برنامه و بودجه و محاسبات,نایب رئیس دوم کمیسیون برنامه و بودجه و محاسبات - عضو کمیسیون تلفیق,عضو کمیسیون برنامه و بودجه و محاسبات - عضو کمیسیون تلفیق,عضو کمیسیون برنامه و بودجه و محاسبات,
غلامحسین,کرمی,بوشهر,دشتی و تنگستان,آقا,1392,43,2046,88,12,1807,1275,261,73,198,دبیر اول کمیسیون برنامه و بودجه و محاسبات,دبیر اول کمیسیون برنامه و بودجه و محاسبات,دبیر اول کمیسیون برنامه و بودجه و محاسبات,دبیر اول کمیسیون برنامه و بودجه و محاسبات,سوابق اجرایی : مدیرکل بازرسی، معاون اداری استانداری میزان تحصیلات : دکترای علوم اجتماعی
علی,حدادی,البرز,ساوجبلاغ / طالقان,آقا,1378,44,2046,81,19,1652,1201,288,58,105,سخنگو کمیسیون امور داخلی کشور و شوراها,عضو کمیسیون امور داخلی کشور و شوراها - عضو کمیسیون تلفیق,سخنگو کمیسیون امور داخلی کشور و شوراها,عضو کمیسیون امور داخلی کشور و شوراها,سوابق اجرایی : فرماندار سابق ساوجبلاغ میزان تحصیلات : کارشناسی ارشد فقه و حقوق اسلامی
علیرضا,نظری,مرکزی,خمین,آقا,1378,44,1869,90,10,1676,1330,316,5,25,عضو کمیسیون کشاورزی،  آب و منابع طبیعی,عضو کمیسیون کشاورزی،  آب و منابع طبیعی,عضو کمیسیون کشاورزی،  آب و منابع طبیعی,سخنگو کمیسیون کشاورزی،  آب و منابع طبیعی,سوابق اجرایی : بازنشسته سپاه میزان تحصیلات : کارشناسی ارشد علوم سیاسی
مجید,نصیرائی,خراسان جنوبی,بشرویه / سرایان / طبس / فردوس,آقا,1368,46,2046,84,16,1713,1324,298,2,89,سخنگو کمیسیون فرهنگی,سخنگو کمیسیون فرهنگی,عضو کمیسیون فرهنگی - عضو کمیسیون تلفیق,عضو کمیسیون فرهنگی,سوابق اجرایی : مدیر حوزه های علمیه استان میزان تحصیلات : سطح 3 حوزه
سیدصادق,طباطبایی‌نژاد,اصفهان,اردستان,آقا,1363,47,2046,83,17,1695,1260,313,22,100,دبیر دوم کمیسیون کشاورزی،  آب و منابع طبیعی,عضو کمیسیون کشاورزی،  آب و منابع طبیعی - عضو کمیسیون تلفیق,عضو کمیسیون کشاورزی،  آب و منابع طبیعی,,سوابق و فعالیت ها: - تدریس در حوزه علمیه قم و اصفهان تحصیلات: - دروس خارج فقه و اصول - کارشناسی ارشد تفسیر
عبدالحسین,روح‌الامینی‌نجف‌آبادی,تهران,اسلامشهر / تهران / ری / شمیرانات,آقا,1358,48,1888,89,11,1682,1291,329,5,57,عضو کمیسیون بهداشت و درمان,عضو کمیسیون بهداشت و درمان,عضو کمیسیون بهداشت و درمان,عضو کمیسیون بهداشت و درمان,سوابق اجرایی : هیات علمی علوم پزشکی-مشاور وزیر بهداشت و رئیس انستیتو پاستور میزان تحصیلات : دکترای فارماسیوتیکس
علی‌اصغر,باقرزاده,مازندران,بابلسر / فریدون کنار,آقا,1355,49,1888,89,11,1674,1312,311,3,48,نایب رئیس اول کمیسیون بهداشت و درمان - عضو کمیسیون تلفیق,دبیر اول کمیسیون تلفیق - عضو کمیسیون بهداشت و درمان,عضو کمیسیون تلفیق,نایب رئیس دوم کمیسیون بهداشت و درمان - عضو کمیسیون کمیسیون تلفیق برنامه هفتم,سوابق اجرایی : متخصص بیماریهای عفونی دانشگاه علوم پزشکی تهران میزان تحصیلات : دکتری تخصصی پزشکی
زهره‌سادات,لاجوردی,تهران,اسلامشهر / تهران / ری / شمیرانات,خانم,1350,50,1869,91,9,1699,1278,330,6,85,دبیر دوم کمیسیون فرهنگی,دبیر اول کمیسیون فرهنگی,دبیر دوم کمیسیون فرهنگی,دبیر دوم کمیسیون فرهنگی,سوابق اجرایی : مدیرکل مرکز امور زنان و خانواده ریاست جمهوری میزان تحصیلات : کارشناس ارشد الهیات
کیومرث,سرمدی‌واله,همدان,اسدآباد,آقا,1342,51,1888,89,11,1671,1206,281,43,141,عضو کمیسیون اجتماعی,عضو کمیسیون اجتماعی - عضو کمیسیون امور داخلی کشور و شوراها - عضو کمیسیون تلفیق,دبیر دوم کمیسیون اجتماعی,عضو کمیسیون اجتماعی,سوابق اجرایی : کارمند آموزش و پرورش میزان تحصیلات : کارشناسی ارشد
سارا,فلاحی,ایلام,ایلام,خانم,1335,52,1869,88,12,1644,1229,346,7,62,عضو کمیسیون امنیت ملی و سیاست خارجی,عضو کمیسیون امنیت ملی و سیاست خارجی - عضو کمیسیون تلفیق,عضو کمیسیون امنیت ملی و سیاست خارجی,عضو کمیسیون امنیت ملی و سیاست خارجی,سوابق اجرایی : هیات علمی دانشگاه آزاد میزان تحصیلات : دکترای علوم سیاسی
حسن,رزمیان‌مقدم,خراسان رضوی,درگز,آقا,1334,53,1869,87,13,1623,1244,252,107,20,,,عضو کمیسیون بهداشت و درمان,عضو کمیسیون بهداشت و درمان,
سیداحمد,رسولی‌نژاد,تهران,دماوند / فیروزکوه,آقا,1329,54,2046,86,14,1768,1328,236,16,188,نایب رئیس اول کمیسیون صنایع و معادن,نایب رئیس دوم کمیسیون صنایع و معادن,عضو کمیسیون صنایع و معادن,عضو کمیسیون صنایع و معادن,
احمد,راستینه‌هفشجانی,چهارمحال و بختیاری,شهرکرد,آقا,1328,55,2046,87,13,1788,1233,328,11,216,عضو کمیسیون فرهنگی - عضو کمیسیون تلفیق,عضو کمیسیون فرهنگی,سخنگو کمیسیون فرهنگی,سخنگو کمیسیون فرهنگی - عضو کمیسیون کمیسیون تلفیق برنامه هفتم,سوابق اجرایی : معاون بازرسی سپاه پاسداران میزان تحصیلات : دکترای علوم سیاسی
ولی‌اله,بیاتی,مرکزی,آشتیان / تفرش / فراهان,آقا,1322,56,1888,92,8,1745,1257,280,9,199,,عضو کمیسیون امور داخلی کشور و شوراها,عضو کمیسیون امور داخلی کشور و شوراها,سخنگو کمیسیون امور داخلی کشور و شوراها,تحصیلات دانشگاهی کارشناسی ارشد فقه و مبانی اسلامی
