نام,نام خانوادگی,استان,شهر,جنسیت,شاخص عملکرد,رتبه,تعداد عملکرد ثبت شده,درصد حضور,درصد غیبت,تعداد حضور در رای‌گیری,رای موافق,رای مخالف,رای ممتنع,عدم مشارکت در رای‌گیری,کمیسیون سال اول,کمیسیون سال دوم,کمیسیون سال سوم,کمیسیون سال چهارم,توضیحات
جلیل,رحیمی‌جهان‌آبادی,خراسان رضوی,باخرز / تایباد / تربت جام,آقا,815,168,1826,68,32,1237,764,193,9,271,عضو کمیسیون امنیت ملی و سیاست خارجی,عضو کمیسیون امنیت ملی و سیاست خارجی,عضو کمیسیون امنیت ملی و سیاست خارجی,عضو کمیسیون امنیت ملی و سیاست خارجی,سوابق و فعالیت ها: - رئیس دانشگاه آزاد اسلامی واحد افغانستان تحصیلات: - دکتری تخصصی روابط بین الملل
سیدموسی,موسوی,فارس,لامرد / مهر,آقا,814,170,1826,56,44,1027,441,84,395,107,عضو کمیسیون انرژی,عضو کمیسیون انرژی,عضو کمیسیون انرژی,عضو کمیسیون انرژی,سوابق و فعالیت ها : - طبابت - مدرس دانشگاه تحصیلات : - دکترای متخصص جراحی عمومی
ابراهیم,متینیان,خوزستان,رامشیر / رامهرمز,آقا,811,171,1718,74,26,1268,761,142,16,349,عضو کمیسیون انرژی,عضو کمیسیون انرژی,عضو کمیسیون انرژی,عضو کمیسیون انرژی,سوابق اجرایی : بازنشسته سپاه میزان تحصیلات : کارشناسی ارشد حقوق جزا
حسن,همتی,آذربایجان غربی,تکاب / شاهین دژ,آقا,808,172,1578,84,16,1322,824,189,24,285,,,,عضو کمیسیون کمیسیون تلفیق برنامه هفتم - عضو کمیسیون امنیت ملی و سیاست خارجی,سوابق و فعالیت ها: -بازنشسته سپاه تحصیلات: - کارشناسی ارشد
سیدعلی,آقازاده‌دافساری,گیلان,رشت,آقا,807,173,1379,81,19,1123,800,162,7,154,عضو کمیسیون امنیت ملی و سیاست خارجی,عضو کمیسیون امنیت ملی و سیاست خارجی,عضو کمیسیون امنیت ملی و سیاست خارجی,عضو کمیسیون امنیت ملی و سیاست خارجی,
موسی,احمدی,بوشهر,جم کنگان دیر,آقا,806,174,1888,67,33,1260,840,192,11,217,نایب رئیس اول کمیسیون انرژی,عضو کمیسیون انرژی,نایب رئیس اول کمیسیون انرژی,عضو کمیسیون انرژی,سوابق و فعالیت ها : - قاضی - معاونت اسناد سازمان ثبت احوال تحصیلات : - درس خارج - دکترای فقه و مبانی حقوق
منصورعلی,زارعی‌کیاپی,مازندران,ساری,آقا,804,175,1869,62,38,1163,716,164,18,265,عضو کمیسیون کشاورزی،  آب و منابع طبیعی,عضو کمیسیون کشاورزی،  آب و منابع طبیعی,عضو کمیسیون کشاورزی،  آب و منابع طبیعی,عضو کمیسیون کشاورزی،  آب و منابع طبیعی - عضو کمیسیون اصل نودم قانون اساسی مجلس,سوابق اجرایی : فرماندار ساری میزان تحصیلات : فوق لیسانس
محمد,آشوری‌تازیانی,هرمزگان,ابوموسی / بندرعباس,آقا,801,176,1878,56,44,1055,622,134,65,234,,,عضو کمیسیون امور داخلی کشور و شوراها,عضو کمیسیون امور داخلی کشور و شوراها,سوابق و فعالیت ها: - معاونت سیاسی، امنیتی استانداری تحصیلات: - دکتری
حسین,بامیری,چهارمحال و بختیاری,لردگان,آقا,799,177,1797,65,35,1177,806,91,44,236,نایب رئیس اول کمیسیون امور داخلی کشور و شوراها - عضو کمیسیون تلفیق,عضو کمیسیون امور داخلی کشور و شوراها - عضو کمیسیون تلفیق,,,سوابق اجرایی : شهردار لردگان میزان تحصیلات : کارشناسی ارشد جامعه شناسی سیاسی
مصطفی,نخعی,خراسان جنوبی,سربیشه / نهبندان,آقا,784,178,1878,56,44,1044,638,221,6,179,عضو کمیسیون انرژی,سخنگو کمیسیون انرژی,عضو کمیسیون انرژی - عضو کمیسیون تلفیق,سخنگو کمیسیون انرژی,سوابق اجرایی : معاون شرکت پخش فراورده های نفتی تربت حیدریه میزان تحصیلات : دکترای مکانیک
ابراهیم,عزیزی,فارس,شیراز,آقا,782,179,1869,73,27,1371,760,215,12,384,عضو کمیسیون امنیت ملی و سیاست خارجی - عضو کمیسیون تلفیق,نایب رئیس اول کمیسیون امنیت ملی و سیاست خارجی,نایب رئیس اول کمیسیون امنیت ملی و سیاست خارجی,نایب رئیس اول کمیسیون امنیت ملی و سیاست خارجی - عضو کمیسیون کمیسیون تلفیق برنامه هفتم,سوابق اجرایی : معاون سیاسی استانداری سیستان و بلوچستان میزان تحصیلات : کارشناسی ارشد حقوق
وحید,جلال‌زاده,آذربایجان غربی,ارومیه,آقا,773,180,1888,70,30,1321,766,204,7,344,عضو کمیسیون امنیت ملی و سیاست خارجی - عضو کمیسیون تلفیق,رئیس کمیسیون امنیت ملی و سیاست خارجی,رئیس کمیسیون امنیت ملی و سیاست خارجی,رئیس کمیسیون امنیت ملی و سیاست خارجی,سوابق و فعالیت ها: -استاندار اسبق استان آذربایجان غربی تحصیلات: - دکتری علوم سیاسی
احسان,ارکانی,خراسان رضوی,نیشابور,آقا,772,181,1826,58,42,1064,781,135,72,76,دبیر اول کمیسیون کمیسیون ویژه جهش و رونق تولید و نظارت بر اجرای اصل 44 قانون اساسی - عضو کمیسیون برنامه و بودجه و محاسبات,عضو کمیسیون برنامه و بودجه و محاسبات - عضو کمیسیون کمیسیون ویژه جهش و رونق تولید و نظارت بر اجرای اصل 44 قانون اساسی,عضو کمیسیون تلفیق - عضو کمیسیون کمیسیون ویژه جهش و رونق تولید و نظارت بر اجرای اصل 44 قانون اساسی,دبیر اول کمیسیون کمیسیون ویژه جهش و رونق تولید و نظارت بر اجرای اصل 44 قانون اساسی - عضو کمیسیون اصل نودم قانون اساسی مجلس,سوابق اجرایی : معاون اداری مالی آستان قدس رضوی میزان تحصیلات : کارشناسی ارشد عمران
فتح‌الله,توسلی,همدان,بهار / کبودرآهنگ,آقا,759,182,1869,60,40,1123,711,162,31,219,,,,,
عبدالله,ایزدپناه,خوزستان,ایذه / باغملک,آقا,749,183,1528,68,32,1041,606,98,202,135,عضو کمیسیون کشاورزی،  آب و منابع طبیعی - عضو کمیسیون تلفیق,عضو کمیسیون کشاورزی،  آب و منابع طبیعی - عضو کمیسیون تلفیق,عضو کمیسیون کشاورزی،  آب و منابع طبیعی - عضو کمیسیون تلفیق,عضو کمیسیون کشاورزی،  آب و منابع طبیعی,سوابق اجرایی : فرماندار مسجد سلیمان- معاون آموزش و پرورش میزان تحصیلات : کارشناسی ارشد عرفان اسلامی
حسینعلی,شهریاری,سیستان و بلوچستان,زاهدان,آقا,729,184,1888,48,52,897,681,163,1,52,,,رئیس کمیسیون بهداشت و درمان,,سوابق اجرایی : هیات علمی - رئیس علوم پزشکی زاهدان میزان تحصیلات : دکترای چشم پزشکی
حسین,حاتمی,آذربایجان شرقی,خداآفرین / کلیبر / هوراند,آقا,723,185,1826,76,24,1381,711,122,25,523,دبیر اول کمیسیون اجتماعی,دبیر دوم کمیسیون اجتماعی,دبیر اول کمیسیون اجتماعی,دبیر اول کمیسیون اجتماعی,سوابق و فعالیت ها: -مسئول بسیج عشایر-سپاه پاسداران تحصیلات: - کارشناسی ارشد علوم سیاسی
سیدنظام‌الدین,موسوی,تهران,اسلامشهر / تهران / ری / شمیرانات,آقا,722,186,1869,58,42,1090,613,139,61,277,عضو کمیسیون اصل نودم قانون اساسی مجلس,,,عضو کمیسیون اصل نودم قانون اساسی مجلس,سوابق اجرایی : معاون ارتباطات و رسانه آستان قدس رضوی میزان تحصیلات : دکترای مطالعات منطقه ای
احمد,محرم‌زاده‌یخفروزان,آذربایجان شرقی,اهر / هریس,آقا,714,187,1797,64,36,1146,676,108,66,296,عضو کمیسیون عمران,عضو کمیسیون عمران,عضو کمیسیون عمران,عضو کمیسیون عمران,سوابق و فعالیت ها: -معاون فرماندار جلفا و مدیر بنیاد مسکن هریس تحصیلات: - کارشناسی ارشد حقوق
محمد,کعب‌عمیر,خوزستان,شوش,آقا,700,188,1578,60,40,947,552,120,39,236,عضو کمیسیون فرهنگی,عضو کمیسیون فرهنگی,عضو کمیسیون فرهنگی,عضو کمیسیون فرهنگی,سوابق اجرایی : کارمند شرکت نفت میزان تحصیلات : دکترای نفت
عباس,جهانگیرزاده,اردبیل,پارس آباد,آقا,693,189,1888,63,37,1184,562,145,10,467,عضو کمیسیون کشاورزی،  آب و منابع طبیعی,عضو کمیسیون کشاورزی،  آب و منابع طبیعی,نایب رئیس دوم کمیسیون کشاورزی،  آب و منابع طبیعی,عضو کمیسیون کشاورزی،  آب و منابع طبیعی,سوابق اجرایی : معاون فرماندار و سرپرست فرمانداری گرمی میزان تحصیلات : فوق لیسانس مهندسی مدیریت
محسن,زنگنه,خراسان رضوی,تربت حیدریه,آقا,686,190,1878,75,25,1404,614,169,17,604,عضو کمیسیون برنامه و بودجه و محاسبات - عضو کمیسیون کمیسیون ویژه جهش و رونق تولید و نظارت بر اجرای اصل 44 قانون اساسی,عضو کمیسیون برنامه و بودجه و محاسبات - عضو کمیسیون کمیسیون ویژه جهش و رونق تولید و نظارت بر اجرای اصل 44 قانون اساسی,نایب رئیس دوم کمیسیون برنامه و بودجه و محاسبات - سخنگو کمیسیون کمیسیون ویژه جهش و رونق تولید و نظارت بر اجرای اصل 44 قانون اساسی,سخنگو کمیسیون کمیسیون تلفیق برنامه هفتم - سخنگو کمیسیون کمیسیون ویژه جهش و رونق تولید و نظارت بر اجرای اصل 44 قانون اساسی - عضو کمیسیون برنامه و بودجه و محاسبات,سوابق اجرایی : استاد و مشاور اقتصادی دانشگاه میزان تحصیلات : دکترای اقتصاد
قاسم,ساعدی,خوزستان,دشت آزادگان / هویزه,آقا,684,191,1869,63,37,1178,566,97,125,390,عضو کمیسیون انرژی,نایب رئیس اول کمیسیون انرژی,عضو کمیسیون انرژی,عضو کمیسیون انرژی,سوابق اجرایی : رئیس آموزش و پرورش میزان تحصیلات : کارشناسی ارشد جامعه شناسی
یوسف,داودی,آذربایجان شرقی,سراب,آقا,683,192,1850,57,43,1055,730,168,20,137,عضو کمیسیون صنایع و معادن,عضو کمیسیون صنایع و معادن,عضو کمیسیون صنایع و معادن,دبیر دوم کمیسیون صنایع و معادن - عضو کمیسیون کمیسیون تلفیق برنامه هفتم,سوابق و فعالیت ها: - استاد دانشگاه تحصیلات: - دکتری و بورد تخصصی بیماری های داخلی - دکتری حرفه ای دامپزشکی - کارشناسی مهندسی شیمی دانشگاهی
جلال,رشیدی‌کوچی,فارس,مرودشت,آقا,676,193,2046,48,52,989,601,187,10,191,عضو کمیسیون تلفیق - عضو کمیسیون امور داخلی کشور و شوراها,,عضو کمیسیون امور داخلی کشور و شوراها - عضو کمیسیون تلفیق,عضو کمیسیون امور داخلی کشور و شوراها,
فاطمه,مقصودی,لرستان,بروجرد,خانم,671,194,1869,57,43,1070,696,136,7,231,دبیر اول کمیسیون امور داخلی کشور و شوراها,دبیر دوم کمیسیون امور داخلی کشور و شوراها,عضو کمیسیون امور داخلی کشور و شوراها,دبیر اول کمیسیون امور داخلی کشور و شوراها,سوابق اجرایی : مدیر مدارس دولتی میزان تحصیلات : دکترای ادبیات
محمد,خدابخشی,لرستان,الیگودرز,آقا,670,195,1869,61,39,1131,607,159,18,347,نایب رئیس اول کمیسیون برنامه و بودجه و محاسبات,نایب رئیس اول کمیسیون برنامه و بودجه و محاسبات,عضو کمیسیون برنامه و بودجه و محاسبات,نایب رئیس دوم کمیسیون برنامه و بودجه و محاسبات - عضو کمیسیون کمیسیون تلفیق برنامه هفتم,سوابق و فعالیت ها: - دانشیار و عضو هیأت علمی دانشگاه شهید بهشتی تهران تحصیلات: - دکتری تخصصی ریاضی کاربردی، تحقیق در عملیات
علی,نیک‌زاد ثمرین,اردبیل,اردبیل / سرعین / نمین / نیر,آقا,662,196,1869,54,46,1011,468,158,189,196,عضو کمیسیون تدوین آیین‌نامه داخلی مجلس - عضو کمیسیون فرهنگی,عضو کمیسیون تدوین آیین‌نامه داخلی مجلس - عضو کمیسیون فرهنگی,عضو کمیسیون تدوین آیین‌نامه داخلی مجلس - عضو کمیسیون فرهنگی,عضو کمیسیون تدوین آیین‌نامه داخلی مجلس - عضو کمیسیون فرهنگی,سوابق اجرایی : وزیر اسبق راه و شهرسازی میزان تحصیلات : فوق لیسانس مدیریت
معین‌الدین,سعیدی,سیستان و بلوچستان,جابهار,آقا,660,197,1850,62,38,1140,533,165,33,409,سخنگو کمیسیون کشاورزی،  آب و منابع طبیعی,عضو کمیسیون کشاورزی،  آب و منابع طبیعی,عضو کمیسیون کشاورزی،  آب و منابع طبیعی,عضو کمیسیون کشاورزی،  آب و منابع طبیعی,سوابق اجرایی : معاون شهرداری چابهار، عضو شورای اسلامی شهر چابهار میزان تحصیلات : کارشناسی ارشد کشاورزی
علی,بابایی‌کارنامی,مازندران,ساری,آقا,636,198,1782,57,43,1010,485,174,23,328,سخنگو کمیسیون اجتماعی,نایب رئیس اول کمیسیون اجتماعی,عضو کمیسیون اجتماعی - عضو کمیسیون تلفیق,عضو کمیسیون اجتماعی,سوابق اجرایی : مدیرکل تعاون میزان تحصیلات : فوق لیسانس
محمدجواد,عسکری,فارس,داراب / زرین‌دشت,آقا,635,199,1869,52,48,981,667,98,8,208,نایب رئیس دوم کمیسیون کشاورزی،  آب و منابع طبیعی,رئیس کمیسیون کشاورزی،  آب و منابع طبیعی,رئیس کمیسیون کشاورزی،  آب و منابع طبیعی,رئیس کمیسیون کشاورزی،  آب و منابع طبیعی,سوابق اجرایی : فرماندار اسبق ارسنجان و آباده میزان تحصیلات : دکترای کشاورزی
ولی,اسماعیلی,اردبیل,گرمی,آقا,632,200,1869,51,49,948,576,121,9,242,نایب رئیس اول کمیسیون اجتماعی,رئیس کمیسیون اجتماعی,نایب رئیس اول کمیسیون اجتماعی,رئیس کمیسیون اجتماعی,
علی,زنجانی‌حسنلوئی,آذربایجان غربی,اشنویه / نقده,آقا,625,201,1869,53,47,994,656,84,24,230,عضو کمیسیون اجتماعی,عضو کمیسیون اجتماعی,عضو کمیسیون اجتماعی,عضو کمیسیون اجتماعی,
حمیدرضا,حاجی‌بابایی,همدان,همدان,آقا,602,202,1869,60,40,1117,588,145,19,365,رئیس کمیسیون برنامه و بودجه و محاسبات - عضو کمیسیون تلفیق,رئیس کمیسیون برنامه و بودجه و محاسبات - رئیس کمیسیون تلفیق,رئیس کمیسیون برنامه و بودجه و محاسبات - عضو کمیسیون تلفیق,رئیس کمیسیون برنامه و بودجه و محاسبات - عضو کمیسیون کمیسیون تلفیق برنامه هفتم,سوابق و فعالیت ها: - وزیر - دانشیار دانشگاه تهران - مدیر گروه اخلاق، قرآن و منابع اسلامی تحصیلات: - دکتری تخصصی
حسین,رئیسی,هرمزگان,جاسک / میناب,آقا,594,203,1869,46,54,852,596,104,9,143,عضو کمیسیون کشاورزی،  آب و منابع طبیعی,عضو کمیسیون آموزش و تحقیقات,,,سوابق اجرایی : فرماندار میناب میزان تحصیلات : کارشناسی ارشد حقوق
محمد,صفری ملک‌میان,گیلان,املش / رودسر,آقا,590,204,1878,46,54,871,548,69,9,245,,نایب رئیس اول کمیسیون امور داخلی کشور و شوراها,عضو کمیسیون امور داخلی کشور و شوراها - عضو کمیسیون تلفیق,عضو کمیسیون امور داخلی کشور و شوراها,سوابق اجرایی : امام جمعه سابق چابکسر میزان تحصیلات : حوزوی
مجتبی,ذوالنوری,قم,قم,آقا,583,205,1826,69,31,1263,449,108,51,655,رئیس کمیسیون امنیت ملی و سیاست خارجی,عضو کمیسیون امنیت ملی و سیاست خارجی,,,تحصیلات: - دروس خارج فقه و اصول - دانشجوی دوره دکتری مدیریت راهبردی - کارشناسی ارشد علوم دفاعی - کارشناسی زبان انگلیسی
منصور,آرامی,هرمزگان,ابوموسی / بندرعباس,آقا,574,206,1888,45,55,855,443,167,12,233,نایب رئیس دوم کمیسیون عمران,عضو کمیسیون عمران,عضو کمیسیون عمران,عضو کمیسیون عمران,سوابق و فعالیت ها: - شهردار بندر عباس - مدرس دانشگاه تحصیلات: - فوق ایسانس علوم توانبخشی ، دانشجوی دکترای سیاستگذاری علوم و فناوری
عبدالناصر,درخشان,سیستان و بلوچستان,ایرانشهر / سرباز,آقا,569,207,1797,68,32,1221,548,174,7,492,عضو کمیسیون صنایع و معادن,عضو کمیسیون صنایع و معادن,عضو کمیسیون صنایع و معادن - عضو کمیسیون تلفیق,عضو کمیسیون صنایع و معادن,سوابق اجرایی : عضو هیات علمی دانشگاه ولایت ایرانشهر میزان تحصیلات : دکترای مدیریت صنعتی
محمدرضا,مبلغی,لرستان,کوهدشت,آقا,564,208,1869,52,48,980,553,78,37,312,عضو کمیسیون فرهنگی,عضو کمیسیون فرهنگی,عضو کمیسیون فرهنگی,عضو کمیسیون فرهنگی,سوابق اجرایی : رئیس حوزه علمیه خرم آباد میزان تحصیلات : معادل دکترا حوزوی
محسن,فتحی,کردستان,سنندج,آقا,560,209,1826,58,42,1053,582,77,2,392,دبیر دوم کمیسیون بهداشت و درمان,دبیر اول کمیسیون بهداشت و درمان,دبیر اول کمیسیون بهداشت و درمان,عضو کمیسیون بهداشت و درمان,سوابق اجرایی : میزان تحصیلات : دکترای داروسازی
سیدکاظم,موسوی,اردبیل,اردبیل / سرعین / نمین / نیر,آقا,552,210,1888,52,48,979,424,125,13,417,نایب رئیس دوم کمیسیون اقتصادی,نایب رئیس اول کمیسیون اقتصادی,عضو کمیسیون اقتصادی - عضو کمیسیون تلفیق,نایب رئیس اول کمیسیون اقتصادی,
منصور,شکرالهی,کرمان,فاریاب / کهنوج / منوجان,آقا,542,211,1379,56,44,776,524,111,5,136,عضو کمیسیون انرژی,عضو کمیسیون انرژی,عضو کمیسیون انرژی,عضو کمیسیون انرژی - عضو کمیسیون امنیت ملی و سیاست خارجی,سوابق اجرایی : قاضی و رئیس دادگستری شهرستان عسلویه میزان تحصیلات : دکترای حقوق
احمد,جباری,هرمزگان,بستک / بندرلنگه / پارسیان,آقا,526,212,1797,45,55,812,402,131,54,225,دبیر اول کمیسیون عمران,دبیر اول کمیسیون عمران,دبیر اول کمیسیون عمران,دبیر اول کمیسیون عمران,سوابق و فعالیت ها: - رئیس هلال احمر - آموزش و پرورش تحصیلات: - لیسانس حقوق قضایی و عمران
محسن,علیزاده,فارس,سپیدان,آقا,493,213,1826,50,50,906,453,126,21,306,عضو کمیسیون اقتصادی,عضو کمیسیون اقتصادی,عضو کمیسیون اقتصادی,عضو کمیسیون اقتصادی,سوابق اجرایی : فعال در بخش کشاورزی میزان تحصیلات : دکترای اقتصاد
محمدرضا,پورابراهیمی‌داورانی,کرمان,راور / کرمان,آقا,459,214,1888,33,67,630,363,126,7,134,رئیس کمیسیون اقتصادی,رئیس کمیسیون اقتصادی,رئیس کمیسیون اقتصادی,رئیس کمیسیون اقتصادی - عضو کمیسیون کمیسیون تلفیق برنامه هفتم,سوابق و فعالیت ها: - عضو هیأت علمی دانشگاه تهران تحصیلات: - دکتری مالی
رجب,رحمانی,قزوین,تاکستان,آقا,432,215,1338,71,29,956,451,43,23,439,عضو کمیسیون برنامه و بودجه و محاسبات,عضو کمیسیون برنامه و بودجه و محاسبات,عضو کمیسیون برنامه و بودجه و محاسبات - عضو کمیسیون تلفیق,عضو کمیسیون برنامه و بودجه و محاسبات,
حسین,حسین‌زاده,فارس,لارستان,آقا,431,216,2046,44,56,908,512,85,12,299,عضو کمیسیون انرژی,دبیر اول کمیسیون انرژی,دبیر اول کمیسیون انرژی,عضو کمیسیون انرژی,سوابق اجرایی : کارمند شرکت ملی نفت میزان تحصیلات : دکترای نفت
مهدی,عیسی‌زاده,آذربایجان غربی,میاندوآب,آقا,236,217,1869,45,55,845,266,116,11,452,رئیس کمیسیون اجتماعی,عضو کمیسیون اجتماعی - عضو کمیسیون تلفیق,رئیس کمیسیون اجتماعی,نایب رئیس اول کمیسیون اجتماعی,سوابق و فعالیت ها: -عضو ناظر هیات عالی گزینش معلمان و کارکنان آموزش و پرورش تحصیلات: - دکتری مدیریت دفاعی
اکبر,احمدپور,خراسان رضوی,خواف / رشتخوار,آقا,202,218,1869,12,88,232,156,43,3,30,عضو کمیسیون آموزش و تحقیقات,عضو کمیسیون آموزش و تحقیقات,عضو کمیسیون آموزش و تحقیقات,عضو کمیسیون آموزش و تحقیقات,سوابق اجرایی : هیات علمی دانشگاه فردوسی میزان تحصیلات : حوزوی
محمد,صفائی‌دلوئی,خراسان رضوی,گناباد,آقا,0,219,1826,0,100,0,0,0,0,0,عضو کمیسیون اقتصادی,عضو کمیسیون اقتصادی,عضو کمیسیون اقتصادی,عضو کمیسیون اقتصادی,سوابق اجرایی : فرماندار میزان تحصیلات : کارشناسی ارشد علوم سیاسی
شهریار,حیدری,کرمانشاه,سرپل ذهاب / قصر شیرین,,,,,,,,,,,,نایب رئیس دوم کمیسیون امنیت ملی و سیاست خارجی,عضو کمیسیون امنیت ملی و سیاست خارجی - عضو کمیسیون تلفیق,عضو کمیسیون امنیت ملی و سیاست خارجی,نایب رئیس دوم کمیسیون امنیت ملی و سیاست خارجی,سوابق اجرایی : میزان تحصیلات :
مصطفی,رضاحسینی قطب‌آبادی,کرمان,شهر بابک,,,,,,,,,,,,دبیر اول کمیسیون صنایع و معادن,عضو کمیسیون صنایع و معادن,عضو کمیسیون صنایع و معادن,عضو کمیسیون صنایع و معادن,
رجب,رحمنی,قزوین,تاکستان,,,,,,,,,,,,عضو کمیسیون برنامه و بودجه و محاسبات,,,,سوابق و فعالیت ها : - معاون وزیرآموزش و پرورش - مستشار دیوان محاسبات کشور تحصیلات : -مهندسی کشاورزی- حقوق خصوصی فوق مدیریت
احمد,دنیامالی,گیلان,بندر انزلی,,,,,,,,,,,,عضو کمیسیون عمران,عضو کمیسیون عمران - عضو کمیسیون تلفیق,نایب رئیس دوم کمیسیون تلفیق - عضو کمیسیون عمران,نایب رئیس دوم کمیسیون عمران,سوابق اجرایی : شورای شهر تهران میزان تحصیلات : دکترای برنامه ریزی شهری
علیرضا ورناصری,قندعلی,خوزستان,مسجد سلیمان,,,,,,,,,,,,عضو کمیسیون انرژی,عضو کمیسیون انرژی - عضو کمیسیون تلفیق,عضو کمیسیون انرژی,عضو کمیسیون انرژی - عضو کمیسیون کمیسیون تلفیق برنامه هفتم,سوابق اجرایی : مشاور استاندار و معاون فرمانداری اندیکا میزان تحصیلات : کارشناسی ارشد علوم سیاسی
عیسی,جعفری,همدان,بهار / کبودرآهنگ,,,,,,,,,,,,عضو کمیسیون برنامه و بودجه و محاسبات,عضو کمیسیون برنامه و بودجه و محاسبات,,,
سید لفته,احمدنژاد,خوزستان,خرمشهر,,,,,,,,,,,,عضو کمیسیون اقتصادی,عضو کمیسیون اقتصادی,عضو کمیسیون اقتصادی,عضو کمیسیون اقتصادی,سوابق اجرایی : کارمند تعاون روستایی میزان تحصیلات : کارشناسی ارشد مدیریت بازرگانی
سید مهدی,فرشادان,کردستان,سنندج,,,,,,,,,,,,نایب رئیس اول کمیسیون تدوین آیین‌نامه داخلی مجلس - عضو کمیسیون تلفیق - عضو کمیسیون برنامه و بودجه و محاسبات,عضو کمیسیون تدوین آیین‌نامه داخلی مجلس - عضو کمیسیون برنامه و بودجه و محاسبات - عضو کمیسیون تلفیق,عضو کمیسیون برنامه و بودجه و محاسبات - عضو کمیسیون تدوین آیین‌نامه داخلی مجلس - عضو کمیسیون تلفیق,عضو کمیسیون برنامه و بودجه و محاسبات - عضو کمیسیون تدوین آیین‌نامه داخلی مجلس,سوابق و فعالیت ها: - پزشک - مدیر کل حوزه استاندار تحصیلات: - دکتری پزشکی
علی اصغر,خانی,سمنان,شاهرود,,,,,,,,,,,,عضو کمیسیون عمران - عضو کمیسیون تلفیق,رئیس کمیسیون تحقیق - عضو کمیسیون تلفیق,عضو کمیسیون عمران,عضو کمیسیون عمران,سوابق اجرایی : شهردار منطقه 11 تهران
رحیم,زارع,فارس,آباده,,,,,,,,,,,,سخنگو کمیسیون تلفیق - عضو کمیسیون برنامه و بودجه و محاسبات - عضو کمیسیون کمیسیون ویژه جهش و رونق تولید و نظارت بر اجرای اصل 44 قانون اساسی,سخنگو کمیسیون تلفیق - عضو کمیسیون برنامه و بودجه و محاسبات - عضو کمیسیون کمیسیون ویژه جهش و رونق تولید و نظارت بر اجرای اصل 44 قانون اساسی,سخنگو کمیسیون تلفیق - عضو کمیسیون برنامه و بودجه و محاسبات,عضو کمیسیون برنامه و بودجه و محاسبات,سوابق و فعالیت ها: - عضو هیأت علمی دانشکده مدیریت و حسابداری دانشگاه علامه طباطبایی - سربازرس حوزه تجارت خارجی سازمان بازرسی کل کشور تحصیلات: - دکتری مدیریت بازرگانی استراتژیک
غلامعلی,کوهساری,گلستان,آزادشهر / رامیان,,,,,,,,,,,,عضو کمیسیون عمران,عضو کمیسیون عمران - عضو کمیسیون تلفیق,عضو کمیسیون عمران - عضو کمیسیون تلفیق,عضو کمیسیون عمران,سوابق اجرایی : کارمند آب و فاضلاب روستایی تهران میزان تحصیلات : کارشناسی ارشد علوم کشاورزی
بیژن,نوباوه وطن,تهران,اسلامشهر / تهران / ری / شمیرانات,,,,,,,,,,,,نایب رئیس اول کمیسیون فرهنگی,نایب رئیس اول کمیسیون فرهنگی,نایب رئیس اول کمیسیون فرهنگی,نایب رئیس دوم کمیسیون فرهنگی - عضو کمیسیون کمیسیون تلفیق برنامه هفتم,سوابق و فعالیت ها: - مدیر دفتر سیاسی در نیویورک و انگلیس و سازمان ملل تحصیلات: - فوق لیسانس تولید تلویزیون
