نام,نام خانوادگی,استان,شهر,جنسیت,شاخص عملکرد,رتبه,تعداد عملکرد ثبت شده,درصد حضور,درصد غیبت,تعداد حضور در رای‌گیری,رای موافق,رای مخالف,رای ممتنع,عدم مشارکت در رای‌گیری,کمیسیون سال اول,کمیسیون سال دوم,کمیسیون سال سوم,کمیسیون سال چهارم,توضیحات
اسفندیار,اختیاری کَسنویه یزد,نمایندگان اقلیت,زرتشتیان,,,,,,,,,,,,عضو کمیسیون آموزش و تحقیقات,عضو کمیسیون آموزش و تحقیقات,عضو کمیسیون آموزش و تحقیقات,عضو کمیسیون آموزش و تحقیقات,سوابق و فعالیت ها: - استاد دانشگاه - معاون پارک علم و فناوری یزد - مدیر کل پژوهش دانشگاه یزد تحصیلات: - P.M.P - دکتری مهندسی تکنولوژی نساجی - خلبان
محمود,عباس‌زاده,اردبیل,مشکین شهر,,,,,,,,,,,,عضو کمیسیون امنیت ملی و سیاست خارجی,سخنگو کمیسیون امنیت ملی و سیاست خارجی,عضو کمیسیون امنیت ملی و سیاست خارجی - عضو کمیسیون تلفیق,عضو کمیسیون امنیت ملی و سیاست خارجی,سوابق اجرایی : مدیرکل اسبق سیاسی وزارت کشور / استاندار اسبق ایلام میزان تحصیلات : دانشجوی دکتری مدیریت رسانه
سمیه,محمودی,اصفهان,شهرضا,,,,,,,,,,,,سخنگو کمیسیون تدوین آیین‌نامه داخلی مجلس - عضو کمیسیون اقتصادی,سخنگو کمیسیون تدوین آیین‌نامه داخلی مجلس - عضو کمیسیون اقتصادی,سخنگو کمیسیون تدوین آیین‌نامه داخلی مجلس - عضو کمیسیون اقتصادی - عضو کمیسیون تلفیق,سخنگو کمیسیون تدوین آیین‌نامه داخلی مجلس - عضو کمیسیون اقتصادی,سوابق و فعالیت ها : -فرمانداری تحصیلات: -کارشناسی ارشد جامعه شناسی
شبیب,جویجری,خوزستان,اهواز / باوی / حمیدیه / کارون,,,,,,,,,,,,,,,عضو کمیسیون کمیسیون تلفیق برنامه هفتم,
سید شمس الدین,حسینی,مازندران,تنکابن / رامسر,,,,,,,,,,,,رئیس کمیسیون کمیسیون ویژه جهش و رونق تولید و نظارت بر اجرای اصل 44 قانون اساسی - عضو کمیسیون تلفیق - عضو کمیسیون برنامه و بودجه و محاسبات,رئیس کمیسیون کمیسیون ویژه جهش و رونق تولید و نظارت بر اجرای اصل 44 قانون اساسی - عضو کمیسیون برنامه و بودجه و محاسبات,رئیس کمیسیون تلفیق - رئیس کمیسیون کمیسیون ویژه جهش و رونق تولید و نظارت بر اجرای اصل 44 قانون اساسی - عضو کمیسیون برنامه و بودجه و محاسبات,رئیس کمیسیون کمیسیون ویژه جهش و رونق تولید و نظارت بر اجرای اصل 44 قانون اساسی - عضو کمیسیون برنامه و بودجه و محاسبات,سوابق اجرایی : وزیر اسبق اقتصاد میزان تحصیلات : دکترای اقتصاد
حسن,لطفی,همدان,رزن,,,,,,,,,,,,عضو کمیسیون اجتماعی,عضو کمیسیون اجتماعی,سخنگو کمیسیون اجتماعی,عضو کمیسیون اجتماعی,سوابق و فعالیت ها : -رییس امور اداری استانداری همدان تحصیلات: -کارشناسی ارشدحقوق جزاءو جرم شناسی
روبرت,بگلریان,نمایندگان اقلیت,مسیحیان ارامنه جنوب کشور,,,,,,,,,,,,عضو کمیسیون انرژی,عضو کمیسیون انرژی,عضو کمیسیون انرژی,عضو کمیسیون انرژی,سوابق و فعالیت ها: - کارشناس اقتصادی تحصیلات: - فوق لیسانس علوم اقتصادی
سید احسان,خاندوزی,تهران,اسلامشهر / تهران / ری / شمیرانات,,,,,,,,,,,,نایب رئیس اول کمیسیون اقتصادی - عضو کمیسیون کمیسیون ویژه جهش و رونق تولید و نظارت بر اجرای اصل 44 قانون اساسی,,,,سوابق اجرایی : استادیار و عضو هیأت علمی دانشگاه علامه طباطبایی میزان تحصیلات : دکترای اقتصاد
جلال,محمودزاده,آذربایجان غربی,مهاباد,,,,,,,,,,,,نایب رئیس اول کمیسیون کشاورزی،  آب و منابع طبیعی,عضو کمیسیون کشاورزی،  آب و منابع طبیعی,دبیر دوم کمیسیون کشاورزی،  آب و منابع طبیعی,عضو کمیسیون کشاورزی،  آب و منابع طبیعی,سوابق و فعالیت ها : -رابط امور مجلس در صندوق بیمه کشاورزی -مشاور قائم مقام وزیر تحصیلات: -کارشناسی ارشد مهندسی کشاورزی
پرویز,محمدنژاد قاضی محله,گیلان,لنگرود,,,,,,,,,,,,عضو کمیسیون انرژی,عضو کمیسیون انرژی,عضو کمیسیون انرژی,عضو کمیسیون انرژی,سوابق اجرایی : قائم مقام مدیرعامل شرکت توزیع برق گیلان میزان تحصیلات : دکترای مدیریت کسب و کار
سیدمحمود,نبویان,تهران,اسلامشهر / تهران / ری / شمیرانات,,,,,,,,,,,,نایب رئیس اول کمیسیون اصل نودم قانون اساسی مجلس,,نایب رئیس اول کمیسیون اصل نودم قانون اساسی مجلس,نایب رئیس اول کمیسیون اصل نودم قانون اساسی مجلس,سوابق و فعالیت ها : - هیات علمی - قائم مقام پژوهشگاه اندیشه سیاسی اسلام تحصیلات : - درس خارج فقه و اصول - دکترای فلسفه
محمود,احمدی بیغش,مرکزی,شازند,,,,,,,,,,,,عضو کمیسیون امنیت ملی و سیاست خارجی,عضو کمیسیون امنیت ملی و سیاست خارجی,عضو کمیسیون امنیت ملی و سیاست خارجی,عضو کمیسیون امنیت ملی و سیاست خارجی,
سید جواد,ساداتی‌نژاد,اصفهان,کاشان,,,,,,,,,,,,رئیس کمیسیون کشاورزی،  آب و منابع طبیعی,,,,سوابق و فعالیت ها: - عضو هیأت علمی دانشگاه تهران تحصیلات: - دکتری هیدرولیک و مهندسی هیدرولوژی
علیرضا,منادی سفیدان,آذربایجان شرقی,آذر شهر / اسکو / تبریز,,,,,,,,,,,,رئیس کمیسیون آموزش و تحقیقات,رئیس کمیسیون آموزش و تحقیقات,رئیس کمیسیون آموزش و تحقیقات,رئیس کمیسیون آموزش و تحقیقات,سوابق و فعالیت ها: - عضو هیات علمی دانشگاه آزاد اسلامی تبریز - رییس باشگاه پژوهشگران جوان شمال غرب کشور - مدیر گروه رشته مهندسی دانشکده کشاورزی دانشگاه آزاد تبریز - ریاست دانشگاه آزاد اسلامی زنجان - عضو علی البدل شورای اسلامی شهر تبریز - نماینده مجلس هشتم از حوزه انتخابیه تبریز، آذرشهر و اسکو تحصیلات : - دکترای حرفه ای دامپزشکی دانشگاه آزاد اسلامی تبریز - دکترای میکروبیولوژی
سید کاظم,دلخوش اباتری,گیلان,صومعه سرا,,,,,,,,,,,,سخنگو کمیسیون قضایی و حقوقی - دبیر دوم کمیسیون تدوین آیین‌نامه داخلی مجلس - عضو کمیسیون تلفیق,نایب رئیس دوم کمیسیون تدوین آیین‌نامه داخلی مجلس - عضو کمیسیون تلفیق,نایب رئیس دوم کمیسیون تدوین آیین‌نامه داخلی مجلس - سخنگو کمیسیون قضایی و حقوقی - عضو کمیسیون تلفیق,نایب رئیس دوم کمیسیون تدوین آیین‌نامه داخلی مجلس,سوابق و فعالیت ها: - وزارت کشور تحصیلات: - دکتری مدیریت راهبردی فرهنگی
غلامرضا,تاجگردون,کهگیلویه و بویراحمد,گچساران,,,,,,,,,,,,,,,,سوابق و فعالیت ها: - عضو هئیت علمی دانشگاه - معاون سازمان مدیریت و برنامه ریزی کشور تحصیلات: - دکتری اقتصاد
عادل,نجف‌زاده,آذربایجان غربی,خوی,,,,,,,,,,,,عضو کمیسیون عمران,عضو کمیسیون عمران,عضو کمیسیون عمران,عضو کمیسیون عمران,سوابق و فعالیت ها: -هیأت علمی دانشگاه تبریز تحصیلات: - دکترای زمین شناسی
مجتبی,بخشی‌پور,کرمانشاه,اسلام‌آباد غرب / دالاهو,,,,,,,,,,,,عضو کمیسیون عمران,عضو کمیسیون عمران,عضو کمیسیون عمران,عضو کمیسیون عمران,-دکتری مهندسی عمران - رییس شرکت های عمرانی کشور
فریدون,حسنوند,خوزستان,اندیمشک,,,,,,,,,,,,عضو کمیسیون انرژی,رئیس کمیسیون انرژی,رئیس کمیسیون انرژی,رئیس کمیسیون انرژی,سوابق و فعالیت ها: - استاندار بوشهر - مشاور وزیر نفت - عضو هیأت مدیره پارس جنوبی - عضو شورای عالی خلیج فارس تحصیلات: - دانشجوی دوره دکتری
مصطفی,آقامیرسلیم,تهران,اسلامشهر / تهران / ری / شمیرانات,,,,,,,,,,,,عضو کمیسیون اصل نودم قانون اساسی مجلس - عضو کمیسیون تدوین آیین‌نامه داخلی مجلس,عضو کمیسیون تدوین آیین‌نامه داخلی مجلس,عضو کمیسیون تدوین آیین‌نامه داخلی مجلس,عضو کمیسیون اصل نودم قانون اساسی مجلس - عضو کمیسیون تدوین آیین‌نامه داخلی مجلس,سوابق اجرایی : عضو مجمع تشخیص مصلحت نظام میزان تحصیلات : فوق لیسانس مهندسی مکانیک
ذبیح الله,اعظمی ساردویی,کرمان,جیرفت / عنبرآباد,,,,,,,,,,,,عضو کمیسیون کشاورزی،  آب و منابع طبیعی,دبیر دوم کمیسیون کشاورزی،  آب و منابع طبیعی,سخنگو کمیسیون کشاورزی،  آب و منابع طبیعی,عضو کمیسیون کشاورزی،  آب و منابع طبیعی,سوابق اجرایی: عضو هیات علمی دانشگاه جیرفت معاون آموزشی و پژوهشی دانشگاه جیرفت میزان تحصیلات: دکترای کشاورزی (بیماری شناسی گیاهی)
سید البرز,حسینی,زنجان,خدابنده,,,,,,,,,,,,سخنگو کمیسیون عمران,عضو کمیسیون عمران,عضو کمیسیون عمران,عضو کمیسیون عمران - عضو کمیسیون کمیسیون تلفیق برنامه هفتم,سوابق اجرایی : مدیرکل راه و شهرسازی مدارس میزان تحصیلات : کارشناسی ارشد عمران
فریدون,عباسی دوانی,فارس,کازرون,,,,,,,,,,,,رئیس کمیسیون انرژی,عضو کمیسیون انرژی,عضو کمیسیون انرژی,عضو کمیسیون انرژی,سوابق اجرایی : میزان تحصیلات :
غلامرضا,نوری قزلجه,آذربایجان شرقی,بستان آباد,,,,,,,,,,,,نایب رئیس دوم کمیسیون کمیسیون ویژه جهش و رونق تولید و نظارت بر اجرای اصل 44 قانون اساسی,عضو کمیسیون کشاورزی،  آب و منابع طبیعی - عضو کمیسیون کمیسیون ویژه جهش و رونق تولید و نظارت بر اجرای اصل 44 قانون اساسی,نایب رئیس دوم کمیسیون کمیسیون ویژه جهش و رونق تولید و نظارت بر اجرای اصل 44 قانون اساسی - عضو کمیسیون کشاورزی،  آب و منابع طبیعی,نایب رئیس دوم کمیسیون کمیسیون ویژه جهش و رونق تولید و نظارت بر اجرای اصل 44 قانون اساسی - عضو کمیسیون کشاورزی،  آب و منابع طبیعی,سوابق و فعالیت ها : - کارشناس ارشد سازمان و مدیر جهاد کشاورزی شهرستان تحصیلات : - فوق لیسانس مدیریت کشاورزی
کیوان,مرادیان کوچکسرایی,مازندران,جویبار / سوادکوه / قائمشهر,,,,,,,,,,,,عضو کمیسیون انرژی,عضو کمیسیون انرژی,عضو کمیسیون انرژی - عضو کمیسیون تلفیق,دبیر دوم کمیسیون انرژی,سوابق اجرایی : رئیس اسبق صندوق رفاه وزارت عتف میزان تحصیلات : دانشجوی دکتری
ابراهیم,عزیزی,کرمانشاه,کرمانشاه,,,,,,,,,,,,نایب رئیس دوم کمیسیون تلفیق - عضو کمیسیون امنیت ملی و سیاست خارجی,نایب رئیس دوم کمیسیون تلفیق,,رئیس کمیسیون کمیسیون تلفیق برنامه هفتم - عضو کمیسیون برنامه و بودجه و محاسبات,
احمد,علیرضابیگی,آذربایجان شرقی,آذر شهر / اسکو / تبریز,,,,,,,,,,,,عضو کمیسیون امور داخلی کشور و شوراها,عضو کمیسیون امور داخلی کشور و شوراها,,,سوابق و فعالیت ها: - هیات علمی ناجا استاندار آذربایجانشرقی تحصیلات: - دکترای امنیت ملی
حسین,میرزایی,اصفهان,اصفهان,,,,,,,,,,,,عضو کمیسیون فرهنگی,عضو کمیسیون فرهنگی,عضو کمیسیون فرهنگی,عضو کمیسیون فرهنگی - عضو کمیسیون اصل نودم قانون اساسی مجلس,سوابق اجرایی : معاون نهاد دانشگاه صنعتی، مدیر مدرسه علمیه میزان تحصیلات : حوزوی
فاطمه,رهبر,تهران,اسلامشهر / تهران / ری / شمیرانات,,,,,,,,,,,,,,,,سوابق و فعالیت ها: - دبیر شورای عالی سیاستگذاری اینترنت صداوسیما - مدیر طرح و توسعه سیستم های رایانه ای سازمان تحصیلات: - فوق لیسانس ارتباط تصویری
علی,رضائی,کرمانشاه,صحنه / کنگاور / هرسین,,,,,,,,,,,,عضو کمیسیون اقتصادی,عضو کمیسیون اقتصادی,عضو کمیسیون اقتصادی,عضو کمیسیون اقتصادی,سوابق اجرایی : میزان تحصیلات :
سید احمد,آوایی,خوزستان,دزفول,,,,,,,,,,,,عضو کمیسیون امنیت ملی و سیاست خارجی,عضو کمیسیون امنیت ملی و سیاست خارجی,عضو کمیسیون امنیت ملی و سیاست خارجی,عضو کمیسیون امنیت ملی و سیاست خارجی,
علیرضا,شهبازی,همدان,نهاوند,,,,,,,,,,,,عضو کمیسیون برنامه و بودجه و محاسبات,عضو کمیسیون برنامه و بودجه و محاسبات,عضو کمیسیون برنامه و بودجه و محاسبات,عضو کمیسیون برنامه و بودجه و محاسبات,سوابق اجرایی : معاون دیوان محاسبات،استاندارکردستان میزان تحصیلات : کارشناسی ارشد
ملک,فاضلی,سیستان و بلوچستان,سراوان / مهرستان,,,,,,,,,,,,عضو کمیسیون بهداشت و درمان,عضو کمیسیون بهداشت و درمان,عضو کمیسیون بهداشت و درمان,عضو کمیسیون بهداشت و درمان,سوابق اجرایی : رئیس مرکز بهداشت شهرستان سراوان میزان تحصیلات : دکترای چشم پزشکی
سید مرتضی,خاتمی,زنجان,ماهنشان,,,,,,,,,,,,عضو کمیسیون بهداشت و درمان,عضو کمیسیون بهداشت و درمان - عضو کمیسیون تلفیق,نایب رئیس اول کمیسیون بهداشت و درمان,عضو کمیسیون بهداشت و درمان - عضو کمیسیون کمیسیون تلفیق برنامه هفتم,سوابق و فعالیت ها: - مسئولیت اجرائی در ستاد وزارت بهداشت و دانشگاه تحصیلات: - ادبیات عرب (تحصیلات حوزوی) - دکتری حرفه ای پزشکی
الهویردی,دهقانی,آذربایجان شرقی,ورزقان,,,,,,,,,,,,عضو کمیسیون صنایع و معادن,عضو کمیسیون صنایع و معادن,عضو کمیسیون صنایع و معادن,دبیر اول کمیسیون صنایع و معادن,سوابق و فعالیت ها : - دبیر آموزش و پرورش تحصیلات : - فوق لیسانس علوم سیاسی
مسعود,پزشکیان,آذربایجان شرقی,آذر شهر / اسکو / تبریز,,,,,,,,,,,,عضو کمیسیون بهداشت و درمان,عضو کمیسیون بهداشت و درمان,,عضو کمیسیون کمیسیون تلفیق برنامه هفتم,سوابق و فعالیت ها: - استاد دانشگاه تحصیلات: - دکتری جراح عمومی و فوق تخصص جراح قلب
امانقلیچ,شادمهر,گلستان,گنبد کاووس,,,,,,,,,,,,عضو کمیسیون آموزش و تحقیقات,عضو کمیسیون آموزش و تحقیقات,عضو کمیسیون آموزش و تحقیقات - عضو کمیسیون تلفیق,عضو کمیسیون آموزش و تحقیقات,سوابق اجرایی : معاون دانشگاه گنبدکاووس میزان تحصیلات : کارشناسی ارشد زبان و ادبیات عرب
محمدعلی,محسنی بندپی,مازندران,چالوس / نوشهر,,,,,,,,,,,,عضو کمیسیون بهداشت و درمان,عضو کمیسیون بهداشت و درمان,عضو کمیسیون بهداشت و درمان,دبیر اول کمیسیون بهداشت و درمان,سوابق اجرایی : معاون امور بین الملل دانشگاه علوم بهزیستی و توانبخشی میزان تحصیلات : دکترای پزشکی
غلامرضا,نوری قزلجه,آذربایجان شرقی,بستان آباد,,,,,,,,,,,,عضو کمیسیون کشاورزی،  آب و منابع طبیعی,,,,
اسماعیل,حسین زهی,سیستان و بلوچستان,خاش,,,,,,,,,,,,عضو کمیسیون عمران,نایب رئیس اول کمیسیون عمران,عضو کمیسیون عمران - عضو کمیسیون تلفیق,عضو کمیسیون عمران,سوابق اجرایی : شهردار اسبق شهرستانهای خاش و زاهدان، مدیر عامل سازمان همیاریهای شهرداری استان ، میزان تحصیلات : کارشناسی ارشد مدیریت دولتی
عفت,شریعتی کوه بنانی,کرمان,زرند / کوهبنان,,,,,,,,,,,,عضو کمیسیون اقتصادی,عضو کمیسیون اقتصادی,عضو کمیسیون اقتصادی,عضو کمیسیون اقتصادی,
سید امیرحسین,قاضی زاده هاشمی,خراسان رضوی,کلات / مشهد,,,,,,,,,,,,عضو کمیسیون بهداشت و درمان - عضو کمیسیون تدوین آیین‌نامه داخلی مجلس,عضو کمیسیون تدوین آیین‌نامه داخلی مجلس,,,سوابق و فعالیت ها: - ریاست دانشگاه علوم پزشکی سمنان تحصیلات: - دکتری پزشکی - متخصص جراحی گوش و حلق و بینی
آرش,زره‌تن لهونی,کرمانشاه,اورامانات / پاوه / جوانرود,,,,,,,,,,,,دبیر دوم کمیسیون برنامه و بودجه و محاسبات,عضو کمیسیون برنامه و بودجه و محاسبات,عضو کمیسیون برنامه و بودجه و محاسبات - عضو کمیسیون تلفیق,عضو کمیسیون برنامه و بودجه و محاسبات,سوابق اجرایی : فرماندار جوانرود، مدیرعامل هلال احمر استان میزان تحصیلات : دکترای اقتصاد بین الملل
الیاس,نادران,تهران,اسلامشهر / تهران / ری / شمیرانات,,,,,,,,,,,,رئیس کمیسیون تلفیق - عضو کمیسیون برنامه و بودجه و محاسبات - عضو کمیسیون کمیسیون ویژه جهش و رونق تولید و نظارت بر اجرای اصل 44 قانون اساسی,عضو کمیسیون برنامه و بودجه و محاسبات - عضو کمیسیون تلفیق - عضو کمیسیون کمیسیون ویژه جهش و رونق تولید و نظارت بر اجرای اصل 44 قانون اساسی,عضو کمیسیون برنامه و بودجه و محاسبات - عضو کمیسیون کمیسیون ویژه جهش و رونق تولید و نظارت بر اجرای اصل 44 قانون اساسی,عضو کمیسیون کمیسیون تلفیق برنامه هفتم - عضو کمیسیون برنامه و بودجه و محاسبات - عضو کمیسیون کمیسیون ویژه جهش و رونق تولید و نظارت بر اجرای اصل 44 قانون اساسی,سوابق و فعالیت ها: - هیات علمی دانشگاه تهران تحصیلات: - دکترای علوم اقتصادی
همایون,سامه یح نجف آبادی,نمایندگان اقلیت,کلیمیان,,,,,,,,,,,,عضو کمیسیون بهداشت و درمان,عضو کمیسیون بهداشت و درمان,عضو کمیسیون بهداشت و درمان,عضو کمیسیون بهداشت و درمان,سوابق اجرایی : رئیس انجمن کلیمیان میزان تحصیلات : دکترای داروسازی
شهباز,حسن پور بیگلری,کرمان,بردسیر / سیرجان,,,,,,,,,,,,نایب رئیس دوم کمیسیون تدوین آیین‌نامه داخلی مجلس - عضو کمیسیون اقتصادی,نایب رئیس دوم کمیسیون اقتصادی,نایب رئیس اول کمیسیون اقتصادی - عضو کمیسیون تدوین آیین‌نامه داخلی مجلس,عضو کمیسیون اقتصادی - عضو کمیسیون تدوین آیین‌نامه داخلی مجلس,سوابق و فعالیت ها: - مدیرعامل شرکت خانه سازی کرمان - عضو هیأت مدیره شرکت تعاونی انبوه سازان - شهردار سیرجان - مدیرکل دفتر شهر و روستای کرمان در سازمان شهرداری های وزارت کشور تحصیلات: - کارشناسی ارشد مدیریت
حسینعلی,شهریاری,سیستان و بلوچستان,زاهدان,,,,,,,,,,,,رئیس کمیسیون بهداشت و درمان,رئیس کمیسیون بهداشت و درمان,,رئیس کمیسیون بهداشت و درمان,سوابق و فعالیت ها: - پزشک - استاد دانشگاه تحصیلات: - دکتری، متخصص چشم، فلوشیپ ویتره ورتین
عبدالرضا,مصری,کرمانشاه,کرمانشاه,,,,,,,,,,,,عضو کمیسیون برنامه و بودجه و محاسبات - عضو کمیسیون تلفیق - عضو کمیسیون کمیسیون ویژه جهش و رونق تولید و نظارت بر اجرای اصل 44 قانون اساسی,عضو کمیسیون برنامه و بودجه و محاسبات - عضو کمیسیون کمیسیون ویژه جهش و رونق تولید و نظارت بر اجرای اصل 44 قانون اساسی,عضو کمیسیون برنامه و بودجه و محاسبات - عضو کمیسیون کمیسیون ویژه جهش و رونق تولید و نظارت بر اجرای اصل 44 قانون اساسی,عضو کمیسیون کمیسیون تلفیق برنامه هفتم - عضو کمیسیون برنامه و بودجه و محاسبات - عضو کمیسیون کمیسیون ویژه جهش و رونق تولید و نظارت بر اجرای اصل 44 قانون اساسی,سوابق و فعالیت ها : - وزیر رفاه و تامین اجتماعی - سفیر ایران در ونزوئلا تحصیلات : - کارشناسی ارشد
سید مجتبی,محفوظی,خوزستان,آبادان,,,,,,,,,,,,عضو کمیسیون فرهنگی,عضو کمیسیون فرهنگی,دبیر اول کمیسیون فرهنگی,عضو کمیسیون فرهنگی,سوابق اجرایی : سپاه پاسداران میزان تحصیلات : دکترای زبان ادبیات عرب
سید علی,موسوی,آذربایجان شرقی,ملکان,,,,,,,,,,,,عضو کمیسیون صنایع و معادن,عضو کمیسیون صنایع و معادن - عضو کمیسیون تلفیق,عضو کمیسیون صنایع و معادن,عضو کمیسیون صنایع و معادن,سوابق و فعالیت ها: -عضو هیأت علمی دانشگاه مراغه تحصیلات: - دکترای فلسفه
شارلی,انویه تکیه,نمایندگان اقلیت,مسیحیان آشوری,,,,,,,,,,,,عضو کمیسیون عمران,عضو کمیسیون عمران,عضو کمیسیون عمران,عضو کمیسیون عمران,سوابق اجرایی : ریس هیات مدیره شرکت راه و ساختمانی دربرود میزان تحصیلات : کارشناسی ارشد عمران
جلیل,مختار,خوزستان,آبادان,,,,,,,,,,,,عضو کمیسیون فرهنگی,عضو کمیسیون عمران,عضو کمیسیون عمران,عضو کمیسیون عمران,سوابق و فعالیت ها : -استاد دانشگاه -کارشناس ارشد اموربهزیستی تحصیلات: -دانشجوی دوره دکتری جامعه شناسی(گرایش اقتصادو توسعه)
محمد طلا,مظلومی آبزرگه,خوزستان,بهبهان,,,,,,,,,,,,عضو کمیسیون انرژی,عضو کمیسیون انرژی,عضو کمیسیون انرژی,عضو کمیسیون انرژی,سوابق اجرایی : بازنشسته سپاه میزان تحصیلات : کارشناسی ارشد
علیرضا,زاکانی,قم,قم,,,,,,,,,,,,عضو کمیسیون اصل نودم قانون اساسی مجلس,,,,سوابق و فعالیت ها: - رئیس سازمان بسیج دانشجویی کشور تحصیلات: - دکترای پزشکی هسته ای
آرا,شاوردیان,نمایندگان اقلیت,مسیحیان ارامنه شمال کشور,,,,,,,,,,,,دبیر دوم کمیسیون عمران,دبیر دوم کمیسیون عمران,دبیر دوم کمیسیون عمران,دبیر دوم کمیسیون عمران,سوابق اجرایی : عضو شورایاری محله مجیدیه میزان تحصیلات : کارشناسی ارشد مردم شناسی
اصغر,سلیمی,اصفهان,سمیرم,,,,,,,,,,,,,,,,
مهدی,روشنفکر,کهگیلویه و بویراحمد,بویر احمد / دنا,,,,,,,,,,,,عضو کمیسیون آموزش و تحقیقات - عضو کمیسیون تلفیق,عضو کمیسیون آموزش و تحقیقات,عضو کمیسیون آموزش و تحقیقات,عضو کمیسیون آموزش و تحقیقات,سوابق اجرایی : عضو هیات علمی دانشگاه فرهنگیان، معاون فرماندار کهگیلویه میزان تحصیلات : دکترای تاریخ ایران
انور,حبیب‌زاده بوکانی,آذربایجان غربی,بوکان,,,,,,,,,,,,دبیر اول کمیسیون اقتصادی,دبیر اول کمیسیون اقتصادی,دبیر دوم کمیسیون اقتصادی,دبیر اول کمیسیون اقتصادی,
اردشیر,مطهری,سمنان,گرمسار,,,,,,,,,,,,دبیر دوم کمیسیون اجتماعی,عضو کمیسیون اجتماعی,عضو کمیسیون اجتماعی,عضو کمیسیون اجتماعی,سوابق اجرایی : بازنشسته نیروی انتظامی میزان تحصیلات : کارشناسی ارشد جامعه شناسی
بهزاد,رحیمی,کردستان,بانه / سقز,,,,,,,,,,,,دبیر دوم کمیسیون صنایع و معادن,دبیر دوم کمیسیون صنایع و معادن,عضو کمیسیون صنایع و معادن,عضو کمیسیون صنایع و معادن,سوابق اجرایی : کارمند آموزش و پرورش میزان تحصیلات : کارشناسی ارشد مدیریت اجرایی
سید ناصر,حسینی‌پور,کهگیلویه و بویراحمد,گچساران,,,,,,,,,,,,,,دبیر دوم کمیسیون اصل نودم قانون اساسی مجلس,دبیر دوم کمیسیون اصل نودم قانون اساسی مجلس,
غلامرضا,مرحبا,گیلان,آستارا,,,,,,,,,,,,عضو کمیسیون اقتصادی,سخنگو کمیسیون اقتصادی,عضو کمیسیون اقتصادی,نایب رئیس دوم کمیسیون اقتصادی,سوابق اجرایی : میزان تحصیلات :
مجید,انصاری,فارس,رستم / ممسنی,,,,,,,,,,,,عضو کمیسیون اجتماعی - عضو کمیسیون تلفیق,سخنگو کمیسیون اجتماعی,عضو کمیسیون اجتماعی,عضو کمیسیون اجتماعی,سوابق اجرایی : وکیل دادگستری میزان تحصیلات : دکترای حقوق
معصومه,پاشایی بهرام,آذربایجان شرقی,جلفا / مرند,,,,,,,,,,,,عضو کمیسیون صنایع و معادن,عضو کمیسیون صنایع و معادن,,,سوابق و فعالیت ها: -رئیس مجمع ملی جهادگران کشور تحصیلات: - دکترای پزشکی
رضا,تقی پور انوری,تهران,اسلامشهر / تهران / ری / شمیرانات,,,,,,,,,,,,عضو کمیسیون صنایع و معادن - عضو کمیسیون کمیسیون ویژه جهش و رونق تولید و نظارت بر اجرای اصل 44 قانون اساسی,عضو کمیسیون صنایع و معادن - عضو کمیسیون کمیسیون ویژه جهش و رونق تولید و نظارت بر اجرای اصل 44 قانون اساسی,عضو کمیسیون صنایع و معادن - عضو کمیسیون کمیسیون ویژه جهش و رونق تولید و نظارت بر اجرای اصل 44 قانون اساسی,عضو کمیسیون صنایع و معادن - عضو کمیسیون کمیسیون ویژه جهش و رونق تولید و نظارت بر اجرای اصل 44 قانون اساسی,سوابق اجرایی : وزیر ارتباط و فناوری اطلاعات در دولت دهم میزان تحصیلات : دکترای علوم پیشرفته مدیریت
مهرداد,گودرزوند چگینی,گیلان,رودبار,,,,,,,,,,,,عضو کمیسیون برنامه و بودجه و محاسبات - عضو کمیسیون تلفیق,عضو کمیسیون برنامه و بودجه و محاسبات,نایب رئیس اول کمیسیون برنامه و بودجه و محاسبات,نایب رئیس اول کمیسیون برنامه و بودجه و محاسبات,سوابق اجرایی : هیات علمی ازاد-رئیس دانشکده مدیریت و حسابداری میزان تحصیلات : دکترای مدیریت دولتی
